"","game","id","roundno","groupness","equalitycondition","roundcat","tokentype","tokengiven","tokensum"
"1","EG01","4759","8","group","equalstatus","1","ingroup",0,4
"2","EG01","4757","8","group","equalstatus","1","ingroup",1,5
"3","EG01","4761","8","group","equalstatus","1","ingroup",1,8
"4","EG01","4763","8","group","equalstatus","1","ingroup",1,5
"5","EG01","4753","8","group","equalstatus","1","ingroup",1,7
"6","EG01","4751","8","group","equalstatus","1","ingroup",1,8
"7","EG01","4754","8","group","equalstatus","1","ingroup",0,7
"8","EG01","4755","8","group","equalstatus","1","ingroup",1,8
"9","EG01","4756","8","group","equalstatus","1","ingroup",1,6
"10","EG01","4758","8","group","equalstatus","1","ingroup",0,4
"11","EG01","4762","8","group","equalstatus","1","ingroup",1,3
"12","EG01","4750","8","group","equalstatus","1","ingroup",0,6
"13","EG01","4752","8","group","equalstatus","1","ingroup",1,7
"14","EG01","4760","8","group","equalstatus","1","ingroup",1,8
"15","EG01","4759","16","group","equalstatus","2","ingroup",1,7
"16","EG01","4757","16","group","equalstatus","2","ingroup",1,8
"17","EG01","4761","16","group","equalstatus","2","ingroup",1,7
"18","EG01","4763","16","group","equalstatus","2","ingroup",1,5
"19","EG01","4753","16","group","equalstatus","2","ingroup",0,2
"20","EG01","4751","16","group","equalstatus","2","ingroup",1,8
"21","EG01","4754","16","group","equalstatus","2","ingroup",1,8
"22","EG01","4755","16","group","equalstatus","2","ingroup",1,7
"23","EG01","4756","16","group","equalstatus","2","ingroup",1,7
"24","EG01","4758","16","group","equalstatus","2","ingroup",0,1
"25","EG01","4762","16","group","equalstatus","2","ingroup",0,2
"26","EG01","4750","16","group","equalstatus","2","ingroup",0,3
"27","EG01","4752","16","group","equalstatus","2","ingroup",0,5
"28","EG01","4760","16","group","equalstatus","2","ingroup",1,7
"29","EG01","4759","24","group","equalstatus","3","ingroup",1,5
"30","EG01","4757","24","group","equalstatus","3","ingroup",1,8
"31","EG01","4761","24","group","equalstatus","3","ingroup",1,7
"32","EG01","4763","24","group","equalstatus","3","ingroup",1,6
"33","EG01","4753","24","group","equalstatus","3","ingroup",1,4
