"","game","id","roundno","groupness","equalitycondition","tokenstoingroup","tokenstooutgroup","tokenstoself","roundcat","ingroupfav","selfgiving"
"1","EG01","4759","8","group","equalstatus",0,1,0,"1",0.5,0.125
"2","EG01","4757","8","group","equalstatus",1,0,0,"1",0.625,0
"3","EG01","4761","8","group","equalstatus",1,0,0,"1",1,0
"4","EG01","4763","8","group","equalstatus",1,0,0,"1",0.625,0
"5","EG01","4753","8","group","equalstatus",1,0,0,"1",0.875,0
"6","EG01","4751","8","group","equalstatus",1,0,0,"1",1,0
"7","EG01","4754","8","group","equalstatus",0,1,0,"1",0.875,0
"8","EG01","4755","8","group","equalstatus",1,0,1,"1",1,0.5
"9","EG01","4756","8","group","equalstatus",1,0,1,"1",0.75,0.25
"10","EG01","4758","8","group","equalstatus",0,1,0,"1",0.5,0
"11","EG01","4762","8","group","equalstatus",1,0,0,"1",0.375,0
"12","EG01","4750","8","group","equalstatus",0,1,0,"1",0.75,0
"13","EG01","4752","8","group","equalstatus",1,0,0,"1",0.875,0
"14","EG01","4760","8","group","equalstatus",1,0,0,"1",1,0
"15","EG01","4759","16","group","equalstatus",1,0,0,"2",0.875,0.625
"16","EG01","4757","16","group","equalstatus",1,0,0,"2",1,0
"17","EG01","4761","16","group","equalstatus",1,0,0,"2",0.875,0
"18","EG01","4763","16","group","equalstatus",1,0,0,"2",0.625,0
"19","EG01","4753","16","group","equalstatus",0,1,0,"2",0.25,0
"20","EG01","4751","16","group","equalstatus",1,0,0,"2",1,0
"21","EG01","4754","16","group","equalstatus",1,0,0,"2",1,0
"22","EG01","4755","16","group","equalstatus",1,0,0,"2",0.875,0.5
"23","EG01","4756","16","group","equalstatus",1,0,0,"2",0.875,0.25
"24","EG01","4758","16","group","equalstatus",0,1,0,"2",0.125,0
"25","EG01","4762","16","group","equalstatus",0,1,0,"2",0.25,0
"26","EG01","4750","16","group","equalstatus",0,1,0,"2",0.375,0
"27","EG01","4752","16","group","equalstatus",0,1,0,"2",0.625,0
"28","EG01","4760","16","group","equalstatus",1,0,0,"2",0.875,0
"29","EG01","4759","24","group","equalstatus",1,0,0,"3",0.625,0.25
"30","EG01","4757","24","group","equalstatus",1,0,0,"3",1,0
"31","EG01","4761","24","group","equalstatus",1,0,0,"3",0.875,0
"32","EG01","4763","24","group","equalstatus",1,0,0,"3",0.75,0
"33","EG01","4753","24","group","equalstatus",1,0,0,"3",0.5,0
"34","EG01","4751","24","group","equalstatus",1,0,0,"3",1,0
"35","EG01","4754","24","group","equalstatus",1,0,0,"3",1,0
"36","EG01","4755","24","group","equalstatus",1,0,1,"3",1,0.625
"37","EG01","4756","24","group","equalstatus",1,0,0,"3",0.75,0.25
"38","EG01","4758","24","group","equalstatus",0,1,0,"3",0.25,0
"39","EG01","4762","24","group","equalstatus",1,0,0,"3",0.875,0
"40","EG01","4750","24","group","equalstatus",0,1,0,"3",0.625,0
"41","EG01","4752","24","group","equalstatus",0,1,0,"3",0.75,0
"42","EG01","4760","24","group","equalstatus",0,1,0,"3",0.875,0
"43","EG01","4759","32","group","equalstatus",1,0,1,"4",0.875,0.5
"44","EG01","4757","32","group","equalstatus",1,0,0,"4",0.875,0
"45","EG01","4761","32","group","equalstatus",1,0,0,"4",1,0
"46","EG01","4763","32","group","equalstatus",0,1,0,"4",0.75,0
"47","EG01","4753","32","group","equalstatus",0,1,0,"4",0.5,0
"48","EG01","4751","32","group","equalstatus",1,0,0,"4",0.875,0
"49","EG01","4754","32","group","equalstatus",1,0,1,"4",0.875,0.25
"50","EG01","4755","32","group","equalstatus",1,0,1,"4",1,0.5
"51","EG01","4756","32","group","equalstatus",1,0,1,"4",1,0.25
"52","EG01","4758","32","group","equalstatus",0,1,0,"4",0.125,0
"53","EG01","4762","32","group","equalstatus",1,0,0,"4",0.625,0
"54","EG01","4750","32","group","equalstatus",0,1,0,"4",0.5,0
